COURSE_CODE,COURSE_DESCRIPTION
COMS4051A,Research Project: Big Data Analytics
COMS4042A,Introduction to Research Methods
COMS4030A,Adaptive Computation and Machine  Learning
COMS4048A,Data Analysis and Exploration
COMS4049A,Data Visualisation and Communication
COMS4050A,Discrete Optimisation
COMS4032A,Applications of Algorithms
COMS4036A,Computer Vision
COMS4038A,Distributed Computing
COMS4040A,High Performance Computing and Scientific Data Management
COMS4046A,Software Defined Networking
COMS4047A,Special Topics in Computer Science
COMS4055A ,Mathematical Foundations of Data Science 
COMS4037A,Databases
